tamMatriz,numProcesos,numHilos,repeticion,tiempo_seg
256,2,8,4,0.904936
256,2,8,5,0.896536
256,2,8,6,0.912656
256,2,8,7,0.907979
256,2,8,8,0.856509
256,2,8,9,0.892408
256,2,8,10,0.906780
256,2,8,11,0.894501
256,2,8,12,0.863333
256,2,8,13,0.906369
256,2,8,14,0.892560
256,2,8,15,0.917097
256,2,8,16,0.887846
256,2,8,17,0.869092
256,2,8,18,0.858436
256,2,8,19,0.893157
256,2,8,20,0.896028
256,2,8,21,0.910356
256,2,8,22,0.891274
256,2,8,23,0.883910
256,2,8,24,0.903086
256,2,8,25,0.895658
256,2,8,26,0.874012
256,2,8,27,0.881901
256,2,8,28,0.900903
256,2,8,29,0.890614
256,2,8,30,0.874967
256,4,1,1,0.771816
256,4,1,2,0.789172
256,4,1,3,0.784782
256,4,1,4,0.778123
256,4,1,5,0.762914
256,4,1,6,0.785375
256,4,1,7,0.787292
256,4,1,8,0.800621
256,4,1,9,0.778003
256,4,1,10,0.785381
256,4,1,11,0.797963
256,4,1,12,0.794206
256,4,1,13,0.803930
256,4,1,14,0.775447
256,4,1,15,0.804330
256,4,1,16,0.791049
256,4,1,17,0.804763
256,4,1,18,0.798825
256,4,1,19,0.784503
256,4,1,20,0.767068
256,4,1,21,0.764342
256,4,1,22,0.753479
256,4,1,23,0.815819
256,4,1,24,0.773559
256,4,1,25,0.778197
256,4,1,26,0.781881
256,4,1,27,0.765032
256,4,1,28,0.767985
256,4,1,29,0.788651
256,4,1,30,0.782330
256,4,2,1,0.769277
256,4,2,2,0.790001
256,4,2,3,0.777853
256,4,2,4,0.786852
256,4,2,5,0.786510
256,4,2,6,0.785585
256,4,2,7,0.775932
256,4,2,8,0.805930
256,4,2,9,0.779275
256,4,2,10,0.790400
256,4,2,11,0.802472
256,4,2,12,0.758657
256,4,2,13,0.808952
256,4,2,14,0.790210
256,4,2,15,0.772958
256,4,2,16,0.801467
256,4,2,17,0.782166
256,4,2,18,0.774432
256,4,2,19,0.784096
256,4,2,20,0.794747
256,4,2,21,0.754579
256,4,2,22,0.779039
256,4,2,23,0.794841
256,4,2,24,0.796758
256,4,2,25,0.772857
256,4,2,26,0.780320
256,4,2,27,0.795477
256,4,2,28,0.809514
256,4,2,29,0.776972
256,4,2,30,0.815347
256,4,4,1,0.772210
256,4,4,2,0.785460
256,4,4,3,0.784687
256,4,4,4,0.765019
256,4,4,5,0.787285
256,4,4,6,0.785614
256,4,4,7,0.810018
256,4,4,8,0.798669
256,4,4,9,0.795407
256,4,4,10,0.785496
256,4,4,11,0.784917
256,4,4,12,0.787857
256,4,4,13,0.767159
256,4,4,14,0.766603
256,4,4,15,0.803116
256,4,4,16,0.793997
256,4,4,17,0.776700
256,4,4,18,0.794386
256,4,4,19,0.784105
256,4,4,20,0.786677
256,4,4,21,0.805386
256,4,4,22,0.803910
256,4,4,23,0.805657
256,4,4,24,0.771639
256,4,4,25,0.772886
256,4,4,26,0.793825
256,4,4,27,0.797849
256,4,4,28,1.776133
256,4,4,29,0.824090
256,4,4,30,0.812538
256,4,8,1,0.783798
256,4,8,2,0.808425
256,4,8,3,0.813872
256,4,8,4,0.805766
256,4,8,5,0.777964
256,4,8,6,0.787014
256,4,8,7,0.804372
256,4,8,8,0.812912
256,4,8,9,0.787316
256,4,8,10,0.799997
256,4,8,11,0.810182
256,4,8,12,0.807830
256,4,8,13,0.795624
256,4,8,14,0.821980
256,4,8,15,0.788064
256,4,8,16,0.786047
256,4,8,17,0.786571
256,4,8,18,0.777517
256,4,8,19,0.816664
256,4,8,20,0.795631
256,4,8,21,0.796673
256,4,8,22,0.778747
256,4,8,23,0.772222
256,4,8,24,0.807769
256,4,8,25,0.794405
