tamMatriz,np,workers,hilos,repeticion,tiempo_seg,estado
512,3,2,4,4,1.140086,OK
512,3,2,4,5,1.107598,OK
512,3,2,4,6,1.061662,OK
512,3,2,4,7,1.081861,OK
512,3,2,4,8,1.092215,OK
512,3,2,4,9,1.127618,OK
512,3,2,4,10,1.121754,OK
512,3,2,4,11,1.121014,OK
512,3,2,4,12,1.129271,OK
512,3,2,4,13,1.116861,OK
512,3,2,4,14,1.100629,OK
512,3,2,4,15,1.098054,OK
512,3,2,4,16,1.144500,OK
512,3,2,4,17,1.106694,OK
512,3,2,4,18,1.064481,OK
512,3,2,4,19,1.109943,OK
512,3,2,4,20,1.114642,OK
512,3,2,4,21,1.127049,OK
512,3,2,4,22,1.137611,OK
512,3,2,4,23,1.080034,OK
512,3,2,4,24,1.113890,OK
512,3,2,4,25,1.149716,OK
512,3,2,4,26,1.117402,OK
512,3,2,4,27,1.128004,OK
512,3,2,4,28,1.098180,OK
512,3,2,4,29,1.127686,OK
512,3,2,4,30,1.089206,OK
1024,2,1,1,1,8.255910,OK
1024,2,1,1,2,7.459892,OK
1024,2,1,1,3,7.713286,OK
1024,2,1,1,4,6.429281,OK
1024,2,1,1,5,6.275460,OK
1024,2,1,1,6,6.152990,OK
1024,2,1,1,7,9.343967,OK
1024,2,1,1,8,6.076719,OK
1024,2,1,1,9,9.488012,OK
1024,2,1,1,10,6.623723,OK
1024,2,1,1,11,9.624179,OK
1024,2,1,1,12,7.462659,OK
1024,2,1,1,13,6.252680,OK
1024,2,1,1,14,6.395211,OK
1024,2,1,1,15,7.123069,OK
1024,2,1,1,16,6.948117,OK
1024,2,1,1,17,9.474588,OK
1024,2,1,1,18,10.343664,OK
1024,2,1,1,19,10.148341,OK
1024,2,1,1,20,6.384152,OK
1024,2,1,1,21,6.735193,OK
1024,2,1,1,22,9.119430,OK
1024,2,1,1,23,9.621516,OK
1024,2,1,1,24,5.992589,OK
1024,2,1,1,25,8.732704,OK
1024,2,1,1,26,9.524316,OK
1024,2,1,1,27,8.284124,OK
1024,2,1,1,28,6.716588,OK
1024,2,1,1,29,7.166003,OK
1024,2,1,1,30,9.747785,OK
1024,2,1,2,1,9.919199,OK
1024,2,1,2,2,8.346839,OK
1024,2,1,2,3,9.690474,OK
1024,2,1,2,4,6.574593,OK
1024,2,1,2,5,7.745040,OK
1024,2,1,2,6,8.871285,OK
1024,2,1,2,7,6.779372,OK
1024,2,1,2,8,6.791414,OK
1024,2,1,2,9,6.389671,OK
1024,2,1,2,10,7.114618,OK
1024,2,1,2,11,7.560078,OK
1024,2,1,2,12,6.244958,OK
1024,2,1,2,13,6.596186,OK
1024,2,1,2,14,6.929029,OK
1024,2,1,2,15,6.284241,OK
1024,2,1,2,16,7.427101,OK
1024,2,1,2,17,6.414637,OK
1024,2,1,2,18,7.201883,OK
1024,2,1,2,19,6.694281,OK
1024,2,1,2,20,9.636573,OK
