tamMatriz,np,workers,hilos,repeticion,tiempo_seg,estado
512,3,2,2,5,1.058211,OK
512,3,2,2,6,1.076051,OK
512,3,2,2,7,1.062646,OK
512,3,2,2,8,1.050497,OK
512,3,2,2,9,1.112674,OK
512,3,2,2,10,1.041898,OK
512,3,2,2,11,1.041683,OK
512,3,2,2,12,1.086036,OK
512,3,2,2,13,1.036997,OK
512,3,2,2,14,1.015684,OK
512,3,2,2,15,1.047073,OK
512,3,2,2,16,1.025523,OK
512,3,2,2,17,1.050775,OK
512,3,2,2,18,1.036741,OK
512,3,2,2,19,1.050210,OK
512,3,2,2,20,1.050624,OK
512,3,2,2,21,1.056583,OK
512,3,2,2,22,1.061956,OK
512,3,2,2,23,1.015234,OK
512,3,2,2,24,1.014241,OK
512,3,2,2,25,1.064458,OK
512,3,2,2,26,1.057905,OK
512,3,2,2,27,1.088825,OK
512,3,2,2,28,1.086665,OK
512,3,2,2,29,1.062345,OK
512,3,2,2,30,1.027301,OK
512,3,2,4,1,1.032379,OK
512,3,2,4,2,1.018195,OK
512,3,2,4,3,1.052434,OK
512,3,2,4,4,1.039995,OK
512,3,2,4,5,1.060590,OK
512,3,2,4,6,1.034071,OK
512,3,2,4,7,1.022270,OK
512,3,2,4,8,1.009985,OK
512,3,2,4,9,1.049271,OK
512,3,2,4,10,1.022497,OK
512,3,2,4,11,1.043064,OK
512,3,2,4,12,1.018145,OK
512,3,2,4,13,1.079014,OK
512,3,2,4,14,1.074835,OK
512,3,2,4,15,1.019979,OK
512,3,2,4,16,1.014069,OK
512,3,2,4,17,1.065295,OK
512,3,2,4,18,1.005876,OK
512,3,2,4,19,1.043942,OK
512,3,2,4,20,1.022205,OK
512,3,2,4,21,1.007739,OK
512,3,2,4,22,1.032169,OK
512,3,2,4,23,1.037250,OK
512,3,2,4,24,1.021763,OK
512,3,2,4,25,1.050504,OK
512,3,2,4,26,1.049444,OK
512,3,2,4,27,1.036159,OK
512,3,2,4,28,1.068443,OK
512,3,2,4,29,1.029770,OK
512,3,2,4,30,1.044046,OK
1024,2,1,1,1,4.834398,OK
1024,2,1,1,2,4.861940,OK
1024,2,1,1,3,4.759659,OK
1024,2,1,1,4,4.834110,OK
1024,2,1,1,5,4.774119,OK
1024,2,1,1,6,4.833942,OK
1024,2,1,1,7,4.814837,OK
1024,2,1,1,8,4.785665,OK
1024,2,1,1,9,4.778015,OK
1024,2,1,1,10,4.775723,OK
1024,2,1,1,11,4.793055,OK
1024,2,1,1,12,4.787927,OK
1024,2,1,1,13,4.778531,OK
1024,2,1,1,14,4.777387,OK
1024,2,1,1,15,4.754579,OK
1024,2,1,1,16,4.806026,OK
1024,2,1,1,17,4.772074,OK
1024,2,1,1,18,4.773344,OK
1024,2,1,1,19,4.803000,OK
1024,2,1,1,20,4.772681,OK
1024,2,1,1,21,4.787174,OK
1024,2,1,1,22,4.777300,OK
1024,2,1,1,23,4.802671,OK
1024,2,1,1,24,4.763400,OK
1024,2,1,1,25,4.760303,OK
1024,2,1,1,26,4.760482,OK
1024,2,1,1,27,4.752111,OK
1024,2,1,1,28,4.755956,OK
1024,2,1,1,29,4.768817,OK
1024,2,1,1,30,4.789150,OK
1024,2,1,2,1,4.791049,OK
1024,2,1,2,2,4.828675,OK
1024,2,1,2,3,4.775718,OK
1024,2,1,2,4,4.795741,OK
1024,2,1,2,5,4.800499,OK
1024,2,1,2,6,4.806304,OK
1024,2,1,2,7,4.792066,OK
1024,2,1,2,8,4.768811,OK
1024,2,1,2,9,4.791697,OK
1024,2,1,2,10,4.792680,OK
1024,2,1,2,11,4.787122,OK
1024,2,1,2,12,4.781975,OK
1024,2,1,2,13,4.782259,OK
1024,2,1,2,14,4.752258,OK
1024,2,1,2,15,4.767673,OK
1024,2,1,2,16,4.783795,OK
1024,2,1,2,17,4.787879,OK
1024,2,1,2,18,4.855503,OK
1024,2,1,2,19,4.789395,OK
1024,2,1,2,20,4.756501,OK
1024,2,1,2,21,4.803978,OK
1024,2,1,2,22,4.790486,OK
1024,2,1,2,23,4.780182,OK
1024,2,1,2,24,4.788741,OK
1024,2,1,2,25,4.807079,OK
1024,2,1,2,26,4.836407,OK
1024,2,1,2,27,4.783799,OK
1024,2,1,2,28,4.798784,OK
1024,2,1,2,29,4.791674,OK
1024,2,1,2,30,4.772662,OK
1024,2,1,4,1,4.779009,OK
1024,2,1,4,2,4.808073,OK
1024,2,1,4,3,4.787808,OK
1024,2,1,4,4,4.797135,OK
1024,2,1,4,5,4.794108,OK
1024,2,1,4,6,4.793557,OK
1024,2,1,4,7,4.809751,OK
1024,2,1,4,8,4.774732,OK
1024,2,1,4,9,4.817499,OK
1024,2,1,4,10,4.791333,OK
1024,2,1,4,11,4.779696,OK
1024,2,1,4,12,4.784639,OK
1024,2,1,4,13,4.797348,OK
1024,2,1,4,14,4.795856,OK
1024,2,1,4,15,4.792941,OK
1024,2,1,4,16,4.793747,OK
1024,2,1,4,17,4.882541,OK
1024,2,1,4,18,4.774091,OK
1024,2,1,4,19,4.779087,OK
1024,2,1,4,20,4.767521,OK
1024,2,1,4,21,4.842472,OK
1024,2,1,4,22,4.852176,OK
1024,2,1,4,23,4.780502,OK
1024,2,1,4,24,4.819655,OK
1024,2,1,4,25,4.777260,OK
1024,2,1,4,26,4.788222,OK
1024,2,1,4,27,4.780860,OK
1024,2,1,4,28,4.784730,OK
1024,2,1,4,29,4.804658,OK
